en
S,en,Ukraine,ru,Р Р€Р С”РЎР‚Р В°Р С‘Р Р…Р В°,ru,Р Р€Р С”РЎР‚Р В°РЎвЂ”Р Р…Р В°
T,en,Vas'kovichi,ru,Р вЂ™Р В°РЎРѓРЎРЉР С”Р С•Р Р†Р С‘РЎвЂЎi,ua,Р вЂ™Р В°РЎРѓРЎРЉР С”Р С•Р Р†Р С‘РЎвЂЎi
T,en,Veselivka,ru,Р вЂ™Р ВµРЎРѓР ВµР В»iР Р†Р С”Р В°,ua,Р вЂ™Р ВµРЎРѓР ВµР В»iР Р†Р С”Р В°
T,en,Vigiv,ru,Р вЂ™Р С‘Р С–iР Р†,ua,Р вЂ™Р С‘Р С–iР Р†
T,en,Gorschik,ru,Р вЂњР С•РЎР‚РЎвЂ°Р С‘Р С”,ua,Р вЂњР С•РЎР‚РЎвЂ°Р С‘Р С”
T,en,Grozine,ru,Р вЂњРЎР‚Р С•Р В·Р С‘Р Р…Р Вµ,ua,Р вЂњРЎР‚Р С•Р В·Р С‘Р Р…Р Вµ
T,en,Guljanka,ru,Р вЂњРЎС“Р В»РЎРЏР Р…Р С”Р В°,ua,Р вЂњРЎС“Р В»РЎРЏР Р…Р С”Р В°
T,en,Davidki,ru,Р вЂќР В°Р Р†Р С‘Р Т‘Р С”Р С‘,ua,Р вЂќР В°Р Р†Р С‘Р Т‘Р С”Р С‘
T,en,Dibrova,ru,Р вЂќiР В±РЎР‚Р С•Р Р†Р В°,ua,Р вЂќiР В±РЎР‚Р С•Р Р†Р В°
T,en,Didkovichi,ru,Р вЂќiР Т‘Р С”Р С•Р Р†Р С‘РЎвЂЎi,ua,Р вЂќiР Т‘Р С”Р С•Р Р†Р С‘РЎвЂЎi
T,en,Zlobichi,ru,Р вЂ”Р В»Р С•Р В±Р С‘РЎвЂЎi,ua,Р вЂ”Р В»Р С•Р В±Р С‘РЎвЂЎi
T,en,Kalens'ke,ru,Р С™Р В°Р В»Р ВµР Р…РЎРѓРЎРЉР С”Р Вµ,ua,Р С™Р В°Р В»Р ВµР Р…РЎРѓРЎРЉР С”Р Вµ
T,en,Kovali,ru,Р С™Р С•Р Р†Р В°Р В»i,ua,Р С™Р С•Р Р†Р В°Р В»i
T,en,Kozhuhivka,ru,Р С™Р С•Р В¶РЎС“РЎвЂ¦iР Р†Р С”Р В°,ua,Р С™Р С•Р В¶РЎС“РЎвЂ¦iР Р†Р С”Р В°
T,en,Korosten',ru,Р С™Р С•РЎР‚Р С•РЎРѓРЎвЂљР ВµР Р…РЎРЉ,ua,Р С™Р С•РЎР‚Р С•РЎРѓРЎвЂљР ВµР Р…РЎРЉ
T,en,Kupische,ru,Р С™РЎС“Р С—Р С‘РЎвЂ°Р Вµ,ua,Р С™РЎС“Р С—Р С‘РЎвЂ°Р Вµ
T,en,Lisivschina,ru,Р вЂєiРЎРѓiР Р†РЎвЂ°Р С‘Р Р…Р В°,ua,Р вЂєiРЎРѓiР Р†РЎвЂ°Р С‘Р Р…Р В°
T,en,Mala zubivschina,ru,Р СљР В°Р В»Р В° Р вЂ”РЎС“Р В±iР Р†РЎвЂ°Р С‘Р Р…Р В°,ua,Р СљР В°Р В»Р В° Р вЂ”РЎС“Р В±iР Р†РЎвЂ°Р С‘Р Р…Р В°
T,en,Medinivka,ru,Р СљР ВµР Т‘Р С‘Р Р…iР Р†Р С”Р В°,ua,Р СљР ВµР Т‘Р С‘Р Р…iР Р†Р С”Р В°
T,en,Mezhirichka,ru,Р СљР ВµР В¶Р С‘РЎР‚iРЎвЂЎР С”Р В°,ua,Р СљР ВµР В¶Р С‘РЎР‚iРЎвЂЎР С”Р В°
T,en,Meleni,ru,Р СљР ВµР В»Р ВµР Р…i,ua,Р СљР ВµР В»Р ВµР Р…i
T,en,Mihajlivka,ru,Р СљР С‘РЎвЂ¦Р В°Р в„–Р В»iР Р†Р С”Р В°,ua,Р СљР С‘РЎвЂ¦Р В°Р в„–Р В»iР Р†Р С”Р В°
T,en,Novaki,ru,Р СњР С•Р Р†Р В°Р С”Р С‘,ua,Р СњР С•Р Р†Р В°Р С”Р С‘
T,en,Obihodi,ru,Р С›Р В±Р С‘РЎвЂ¦Р С•Р Т‘Р С‘,ua,Р С›Р В±Р С‘РЎвЂ¦Р С•Р Т‘Р С‘
T,en,Polis'ke,ru,Р СџР С•Р В»iРЎРѓРЎРЉР С”Р Вµ,ua,Р СџР С•Р В»iРЎРѓРЎРЉР С”Р Вµ
T,en,Rishavka,ru,Р В Р С‘РЎв‚¬Р В°Р Р†Р С”Р В°,ua,Р В Р С‘РЎв‚¬Р В°Р Р†Р С”Р В°
T,en,Sarnovichi,ru,Р РЋР В°РЎР‚Р Р…Р С•Р Р†Р С‘РЎвЂЎi,ua,Р РЋР В°РЎР‚Р Р…Р С•Р Р†Р С‘РЎвЂЎi
T,en,Singayi,ru,Р РЋР С‘Р Р…Р С–Р В°РЎвЂ”,ua,Р РЋР С‘Р Р…Р С–Р В°РЎвЂ”
T,en,Stremigorod,ru,Р РЋРЎвЂљРЎР‚Р ВµР С?Р С‘Р С–Р С•РЎР‚Р С•Р Т‘,ua,Р РЋРЎвЂљРЎР‚Р ВµР С?Р С‘Р С–Р С•РЎР‚Р С•Р Т‘
T,en,Sushki,ru,Р РЋРЎС“РЎв‚¬Р С”Р С‘,ua,Р РЋРЎС“РЎв‚¬Р С”Р С‘
T,en,Ushomir,ru,Р Р€РЎв‚¬Р С•Р С?Р С‘РЎР‚,ua,Р Р€РЎв‚¬Р С•Р С?Р С‘РЎР‚
T,en,Hodaki,ru,Р ТђР С•Р Т‘Р В°Р С”Р С‘,ua,Р ТђР С•Р Т‘Р В°Р С”Р С‘
T,en,Holosne,ru,Р ТђР С•Р В»Р С•РЎРѓР Р…Р Вµ,ua,Р ТђР С•Р В»Р С•РЎРѓР Р…Р Вµ
T,en,Hotinivka,ru,Р ТђР С•РЎвЂљР С‘Р Р…iР Р†Р С”Р В°,ua,Р ТђР С•РЎвЂљР С‘Р Р…iР Р†Р С”Р В°
T,en,CHepiri,ru,Р В§Р ВµР С—Р С‘РЎР‚Р С‘,ua,Р В§Р ВµР С—Р С‘РЎР‚Р С‘
T,en,Shershni,ru,Р РЃР ВµРЎР‚РЎв‚¬Р Р…i,ua,Р РЃР ВµРЎР‚РЎв‚¬Р Р…i
T,en,Schorsivka,ru,Р В©Р С•РЎР‚РЎРѓiР Р†Р С”Р В°,ua,Р В©Р С•РЎР‚РЎРѓiР Р†Р С”Р В°
T,en,Bil'kivtsi,ru,Р вЂ?iР В»РЎРЉР С”iР Р†РЎвЂ i,ua,Р вЂ?iР В»РЎРЉР С”iР Р†РЎвЂ i
T,en,Vil'nja,ru,Р вЂ™iР В»РЎРЉР Р…РЎРЏ,ua,Р вЂ™iР В»РЎРЉР Р…РЎРЏ
T,en,Gorods'ke,ru,Р вЂњР С•РЎР‚Р С•Р Т‘РЎРѓРЎРЉР С”Р Вµ,ua,Р вЂњР С•РЎР‚Р С•Р Т‘РЎРѓРЎРЉР С”Р Вµ
T,en,Grubs'ke,ru,Р вЂњРЎР‚РЎС“Р В±РЎРѓРЎРЉР С”Р Вµ,ua,Р вЂњРЎР‚РЎС“Р В±РЎРѓРЎРЉР С”Р Вµ
T,en,Gumenniki,ru,Р вЂњРЎС“Р С?Р ВµР Р…Р Р…Р С‘Р С”Р С‘,ua,Р вЂњРЎС“Р С?Р ВµР Р…Р Р…Р С‘Р С”Р С‘
T,en,Kvitneve,ru,Р С™Р Р†iРЎвЂљР Р…Р ВµР Р†Р Вµ,ua,Р С™Р Р†iРЎвЂљР Р…Р ВµР Р†Р Вµ
T,en,Kmitiv,ru,Р С™Р С?Р С‘РЎвЂљiР Р†,ua,Р С™Р С?Р С‘РЎвЂљiР Р†
T,en,Koziyivka,ru,Р С™Р С•Р В·iРЎвЂ”Р Р†Р С”Р В°,ua,Р С™Р С•Р В·iРЎвЂ”Р Р†Р С”Р В°
T,en,Korostishiv,ru,Р С™Р С•РЎР‚Р С•РЎРѓРЎвЂљР С‘РЎв‚¬iР Р†,ua,Р С™Р С•РЎР‚Р С•РЎРѓРЎвЂљР С‘РЎв‚¬iР Р†
T,en,Minijki,ru,Р СљР С‘Р Р…iР в„–Р С”Р С‘,ua,Р СљР С‘Р Р…iР в„–Р С”Р С‘
T,en,Sadove,ru,Р РЋР В°Р Т‘Р С•Р Р†Р Вµ,ua,Р РЋР В°Р Т‘Р С•Р Р†Р Вµ
T,en,Slobidka,ru,Р РЋР В»Р С•Р В±iР Т‘Р С”Р В°,ua,Р РЋР В»Р С•Р В±iР Т‘Р С”Р В°
T,en,Smolivka,ru,Р РЋР С?Р С•Р В»iР Р†Р С”Р В°,ua,Р РЋР С?Р С•Р В»iР Р†Р С”Р В°
T,en,Starosil'tsi,ru,Р РЋРЎвЂљР В°РЎР‚Р С•РЎРѓiР В»РЎРЉРЎвЂ i,ua,Р РЋРЎвЂљР В°РЎР‚Р С•РЎРѓiР В»РЎРЉРЎвЂ i
T,en,Strizhivka,ru,Р РЋРЎвЂљРЎР‚Р С‘Р В¶iР Р†Р С”Р В°,ua,Р РЋРЎвЂљРЎР‚Р С‘Р В¶iР Р†Р С”Р В°
T,en,Studenitsja,ru,Р РЋРЎвЂљРЎС“Р Т‘Р ВµР Р…Р С‘РЎвЂ РЎРЏ,ua,Р РЋРЎвЂљРЎС“Р Т‘Р ВµР Р…Р С‘РЎвЂ РЎРЏ
T,en,Torchin,ru,Р СћР С•РЎР‚РЎвЂЎР С‘Р Р…,ua,Р СћР С•РЎР‚РЎвЂЎР С‘Р Р…
T,en,Haritonivka,ru,Р ТђР В°РЎР‚Р С‘РЎвЂљР С•Р Р…iР Р†Р С”Р В°,ua,Р ТђР В°РЎР‚Р С‘РЎвЂљР С•Р Р…iР Р†Р С”Р В°
T,en,Shahvorostivka,ru,Р РЃР В°РЎвЂ¦Р Р†Р С•РЎР‚Р С•РЎРѓРЎвЂљiР Р†Р С”Р В°,ua,Р РЃР В°РЎвЂ¦Р Р†Р С•РЎР‚Р С•РЎРѓРЎвЂљiР Р†Р С”Р В°
T,en,Bovsuni,ru,Р вЂ?Р С•Р Р†РЎРѓРЎС“Р Р…Р С‘,ua,Р вЂ?Р С•Р Р†РЎРѓРЎС“Р Р…Р С‘
T,en,Budo-litki,ru,Р вЂ?РЎС“Р Т‘Р С•-Р вЂєiРЎвЂљР С”Р С‘,ua,Р вЂ?РЎС“Р Т‘Р С•-Р вЂєiРЎвЂљР С”Р С‘
T,en,Velikij divlin,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р вЂќР С‘Р Р†Р В»Р С‘Р Р…,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р вЂќР С‘Р Р†Р В»Р С‘Р Р…
T,en,Zherevtsi,ru,Р вЂ“Р ВµРЎР‚Р ВµР Р†РЎвЂ i,ua,Р вЂ“Р ВµРЎР‚Р ВµР Р†РЎвЂ i
T,en,Zhovtneve,ru,Р вЂ“Р С•Р Р†РЎвЂљР Р…Р ВµР Р†Р Вµ,ua,Р вЂ“Р С•Р Р†РЎвЂљР Р…Р ВµР Р†Р Вµ
T,en,Krasnostav,ru,Р С™РЎР‚Р В°РЎРѓР Р…Р С•РЎРѓРЎвЂљР В°Р Р†,ua,Р С™РЎР‚Р В°РЎРѓР Р…Р С•РЎРѓРЎвЂљР В°Р Р†
T,en,Kremne,ru,Р С™РЎР‚Р ВµР С?Р Р…Р Вµ,ua,Р С™РЎР‚Р ВµР С?Р Р…Р Вµ
T,en,Litki,ru,Р вЂєiРЎвЂљР С”Р С‘,ua,Р вЂєiРЎвЂљР С”Р С‘
T,en,Lipniki,ru,Р вЂєР С‘Р С—Р Р…Р С‘Р С”Р С‘,ua,Р вЂєР С‘Р С—Р Р…Р С‘Р С”Р С‘
T,en,Lugini,ru,Р вЂєРЎС“Р С–Р С‘Р Р…Р С‘,ua,Р вЂєРЎС“Р С–Р С‘Р Р…Р С‘
T,en,Malij divlin,ru,Р СљР В°Р В»Р С‘Р в„– Р вЂќР С‘Р Р†Р В»Р С‘Р Р…,ua,Р СљР В°Р В»Р С‘Р в„– Р вЂќР С‘Р Р†Р В»Р С‘Р Р…
T,en,Ostapi,ru,Р С›РЎРѓРЎвЂљР В°Р С—Р С‘,ua,Р С›РЎРѓРЎвЂљР В°Р С—Р С‘
T,en,Povch,ru,Р СџР С•Р Р†РЎвЂЎ,ua,Р СџР С•Р Р†РЎвЂЎ
T,en,Putilovichi,ru,Р СџРЎС“РЎвЂљР С‘Р В»Р С•Р Р†Р С‘РЎвЂЎi,ua,Р СџРЎС“РЎвЂљР С‘Р В»Р С•Р Р†Р С‘РЎвЂЎi
T,en,Radogoscha,ru,Р В Р В°Р Т‘Р С•Р С–Р С•РЎвЂ°Р В°,ua,Р В Р В°Р Т‘Р С•Р С–Р С•РЎвЂ°Р В°
T,en,Solov'YI,ru,Р РЋР С•Р В»Р С•Р Р†'Р вЂЎ,ua,Р РЋР С•Р В»Р С•Р Р†'Р вЂЎ
T,en,Starosillja,ru,Р РЋРЎвЂљР В°РЎР‚Р С•РЎРѓiР В»Р В»РЎРЏ,ua,Р РЋРЎвЂљР В°РЎР‚Р С•РЎРѓiР В»Р В»РЎРЏ
T,en,Topil'nja,ru,Р СћР С•Р С—iР В»РЎРЉР Р…РЎРЏ,ua,Р СћР С•Р С—iР В»РЎРЉР Р…РЎРЏ
T,en,CHervona voloka,ru,Р В§Р ВµРЎР‚Р Р†Р С•Р Р…Р В° Р вЂ™Р С•Р В»Р С•Р С”Р В°,ua,Р В§Р ВµРЎР‚Р Р†Р С•Р Р…Р В° Р вЂ™Р С•Р В»Р С•Р С”Р В°
T,en,Avratin,ru,Р С’Р Р†РЎР‚Р В°РЎвЂљР С‘Р Р…,ua,Р С’Р Р†РЎР‚Р В°РЎвЂљР С‘Р Р…
T,en,Bicheva,ru,Р вЂ?Р С‘РЎвЂЎР ВµР Р†Р В°,ua,Р вЂ?Р С‘РЎвЂЎР ВµР Р†Р В°
T,en,Borushkivtsi,ru,Р вЂ?Р С•РЎР‚РЎС“РЎв‚¬Р С”iР Р†РЎвЂ i,ua,Р вЂ?Р С•РЎР‚РЎС“РЎв‚¬Р С”iР Р†РЎвЂ i
T,en,Velika volitsja,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р вЂ™Р С•Р В»Р С‘РЎвЂ РЎРЏ,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р вЂ™Р С•Р В»Р С‘РЎвЂ РЎРЏ
T,en,Velikij brataliv,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р вЂ?РЎР‚Р В°РЎвЂљР В°Р В»iР Р†,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р С‘Р в„– Р вЂ?РЎР‚Р В°РЎвЂљР В°Р В»iР Р†
T,en,Veliki derevichi,ru,Р вЂ™Р ВµР В»Р С‘Р С”i Р вЂќР ВµРЎР‚Р ВµР Р†Р С‘РЎвЂЎi,ua,Р вЂ™Р ВµР В»Р С‘Р С”i Р вЂќР ВµРЎР‚Р ВµР Р†Р С‘РЎвЂЎi
T,en,Veselka,ru,Р вЂ™Р ВµРЎРѓР ВµР В»Р С”Р В°,ua,Р вЂ™Р ВµРЎРѓР ВµР В»Р С”Р В°
T,en,Vignanka,ru,Р вЂ™Р С‘Р С–Р Р…Р В°Р Р…Р С”Р В°,ua,Р вЂ™Р С‘Р С–Р Р…Р В°Р Р…Р С”Р В°
T,en,Gizivschina,ru,Р вЂњiР В·iР Р†РЎвЂ°Р С‘Р Р…Р В°,ua,Р вЂњiР В·iР Р†РЎвЂ°Р С‘Р Р…Р В°
T,en,Glezne,ru,Р вЂњР В»Р ВµР В·Р Р…Р Вµ,ua,Р вЂњР В»Р ВµР В·Р Р…Р Вµ
T,en,Goropayi,ru,Р вЂњР С•РЎР‚Р С•Р С—Р В°РЎвЂ”,ua,Р вЂњР С•РЎР‚Р С•Р С—Р В°РЎвЂ”
T,en,Grinivtsi,ru,Р вЂњРЎР‚Р С‘Р Р…iР Р†РЎвЂ i,ua,Р вЂњРЎР‚Р С‘Р Р…iР Р†РЎвЂ i
T,en,Gromada,ru,Р вЂњРЎР‚Р С•Р С?Р В°Р Т‘Р В°,ua,Р вЂњРЎР‚Р С•Р С?Р В°Р Т‘Р В°
T,en,Korostki,ru,Р С™Р С•РЎР‚Р С•РЎРѓРЎвЂљР С”Р С‘,ua,Р С™Р С•РЎР‚Р С•РЎРѓРЎвЂљР С”Р С‘
T,en,Lipne,ru,Р вЂєР С‘Р С—Р Р…Р Вµ,ua,Р вЂєР С‘Р С—Р Р…Р Вµ
T,en,Ljubar,ru,Р вЂєРЎР‹Р В±Р В°РЎР‚,ua,Р вЂєРЎР‹Р В±Р В°РЎР‚
T,en,Mala derevichka,ru,Р СљР В°Р В»Р В° Р вЂќР ВµРЎР‚Р ВµР Р†Р С‘РЎвЂЎР С”Р В°,ua,Р СљР В°Р В»Р В° Р вЂќР ВµРЎР‚Р ВµР Р†Р С‘РЎвЂЎР С”Р В°
T,en,Malij brataliv,ru,Р СљР В°Р В»Р С‘Р в„– Р вЂ?РЎР‚Р В°РЎвЂљР В°Р В»iР Р†,ua,Р СљР В°Р В»Р С‘Р в„– Р вЂ?РЎР‚Р В°РЎвЂљР В°Р В»iР Р†
T,en,Melentsi,ru,Р СљР ВµР В»Р ВµР Р…РЎвЂ i,ua,Р СљР ВµР В»Р ВµР Р…РЎвЂ i
T,en,Motovilivka,ru,Р СљР С•РЎвЂљР С•Р Р†Р С‘Р В»iР Р†Р С”Р В°,ua,Р СљР С•РЎвЂљР С•Р Р†Р С‘Р В»iР Р†Р С”Р В°
T,en,Nova CHortorija,ru,Р СњР С•Р Р†Р В° Р В§Р С•РЎР‚РЎвЂљР С•РЎР‚Р С‘РЎРЏ,ua,Р СњР С•Р Р†Р В° Р В§Р С•РЎР‚РЎвЂљР С•РЎР‚Р С‘РЎРЏ
T,en,Novij ljubar,ru,Р СњР С•Р Р†Р С‘Р в„– Р вЂєРЎР‹Р В±Р В°РЎР‚,ua,Р СњР С•Р Р†Р С‘Р в„– Р вЂєРЎР‹Р В±Р В°РЎР‚
T,en,Panasivka,ru,Р СџР В°Р Р…Р В°РЎРѓiР Р†Р С”Р В°,ua,Р СџР В°Р Р…Р В°РЎРѓiР Р†Р С”Р В°
T,en,Pedinka,ru,Р СџР ВµР Т‘Р С‘Р Р…Р С”Р В°,ua,Р СџР ВµР Т‘Р С‘Р Р…Р С”Р В°
T,en,Privitiv,ru,Р СџРЎР‚Р С‘Р Р†iРЎвЂљiР Р†,ua,Р СџРЎР‚Р С‘Р Р†iРЎвЂљiР Р†
T,en,Rogizna,ru,Р В Р С•Р С–iР В·Р Р…Р В°,ua,Р В Р С•Р С–iР В·Р Р…Р В°
T,en,Stara CHortorija,ru,Р РЋРЎвЂљР В°РЎР‚Р В° Р В§Р С•РЎР‚РЎвЂљР С•РЎР‚Р С‘РЎРЏ,ua,Р РЋРЎвЂљР В°РЎР‚Р В° Р В§Р С•РЎР‚РЎвЂљР С•РЎР‚Р С‘РЎРЏ
T,en,Starij ljubar,ru,Р РЋРЎвЂљР В°РЎР‚Р С‘Р в„– Р вЂєРЎР‹Р В±Р В°РЎР‚,ua,Р РЋРЎвЂљР В°РЎР‚Р С‘Р в„– Р вЂєРЎР‹Р В±Р В°РЎР‚
T,en,Filintsi,ru,Р В¤Р С‘Р В»Р С‘Р Р…РЎвЂ i,ua,Р В¤Р С‘Р В»Р С‘Р Р…РЎвЂ i
T,en,Jurivka,ru,Р В®РЎР‚iР Р†Р С”Р В°,ua,Р В®РЎР‚iР Р†Р С”Р В°
T,en,Barvinki,ru,Р вЂ?Р В°РЎР‚Р Р†iР Р…Р С”Р С‘,ua,Р вЂ?Р В°РЎР‚Р Р†iР Р…Р С”Р С‘
T,en,Berezine,ru,Р вЂ?Р ВµРЎР‚Р ВµР В·Р С‘Р Р…Р Вµ,ua,Р вЂ?Р ВµРЎР‚Р ВµР В·Р С‘Р Р…Р Вµ
T,en,Budo-vorob'yi,ru,Р вЂ?РЎС“Р Т‘Р С•-Р вЂ™Р С•РЎР‚Р С•Р В±'РЎвЂ”,ua,Р вЂ?РЎС“Р Т‘Р С•-Р вЂ™Р С•РЎР‚Р С•Р В±'РЎвЂ”
T,en,Vishiv,ru,Р вЂ™Р С‘РЎв‚¬iР Р†,ua,Р вЂ™Р С‘РЎв‚¬iР Р†
T,en,Vladivka,ru,Р вЂ™Р В»Р В°Р Т‘iР Р†Р С”Р В°,ua,Р вЂ™Р В»Р В°Р Т‘iР Р†Р С”Р В°
T,en,Vorsivka,ru,Р вЂ™Р С•РЎР‚РЎРѓiР Р†Р С”Р В°,ua,Р вЂ™Р С•РЎР‚РЎРѓiР Р†Р С”Р В°
T,en,Gamarnja,ru,Р вЂњР В°Р С?Р В°РЎР‚Р Р…РЎРЏ,ua,Р вЂњР В°Р С?Р В°РЎР‚Р Р…РЎРЏ
T,en,Golovki,ru,Р вЂњР С•Р В»Р С•Р Р†Р С”Р С‘,ua,Р вЂњР С•Р В»Р С•Р Р†Р С”Р С‘
T,en,Gorin',ru,Р вЂњР С•РЎР‚Р С‘Р Р…РЎРЉ,ua,Р вЂњР С•РЎР‚Р С‘Р Р…РЎРЉ
T,en,Granitne,ru,Р вЂњРЎР‚Р В°Р Р…iРЎвЂљР Р…Р Вµ,ua,Р вЂњРЎР‚Р В°Р Р…iРЎвЂљР Р…Р Вµ
T,en,Ksaveriv,ru,Р С™РЎРѓР В°Р Р†Р ВµРЎР‚iР Р†,ua,Р С™РЎРѓР В°Р Р†Р ВµРЎР‚iР Р†
T,en,Luki,ru,Р вЂєРЎС“Р С”Р С‘,ua,Р вЂєРЎС“Р С”Р С‘
T,en,Ljubovichi,ru,Р вЂєРЎР‹Р В±Р С•Р Р†Р С‘РЎвЂЎi,ua,Р вЂєРЎР‹Р В±Р С•Р Р†Р С‘РЎвЂЎi
T,en,Malin,ru,Р СљР В°Р В»Р С‘Р Р…,ua,Р СљР В°Р В»Р С‘Р Р…
T,en,Malinivka,ru,Р СљР В°Р В»Р С‘Р Р…iР Р†Р С”Р В°,ua,Р СљР В°Р В»Р С‘Р Р…iР Р†Р С”Р В°
T,en,Nedashki,ru,Р СњР ВµР Т‘Р В°РЎв‚¬Р С”Р С‘,ua,Р СњР ВµР Т‘Р В°РЎв‚¬Р С”Р С‘
T,en,Novi vorob'yi,ru,Р СњР С•Р Р†i Р вЂ™Р С•РЎР‚Р С•Р В±'РЎвЂ”,ua,Р СњР С•Р Р†i Р вЂ™Р С•РЎР‚Р С•Р В±'РЎвЂ”
T,en,Novobrats'ke,ru,Р СњР С•Р Р†Р С•Р В±РЎР‚Р В°РЎвЂљРЎРѓРЎРЉР С”Р Вµ,ua,Р СњР С•Р Р†Р С•Р В±РЎР‚Р В°РЎвЂљРЎРѓРЎРЉР С”Р Вµ
T,en,Pirizhki,ru,Р СџР С‘РЎР‚iР В¶Р С”Р С‘,ua,Р СџР С‘РЎР‚iР В¶Р С”Р С‘
T,en,Pristantsijne,ru,Р СџРЎР‚Р С‘РЎРѓРЎвЂљР В°Р Р…РЎвЂ iР в„–Р Р…Р Вµ,ua,Р СџРЎР‚Р С‘РЎРѓРЎвЂљР В°Р Р…РЎвЂ iР в„–Р Р…Р Вµ
T,en,Skurati,ru,Р РЋР С”РЎС“РЎР‚Р В°РЎвЂљР С‘,ua,Р РЋР С”РЎС“РЎР‚Р В°РЎвЂљР С‘
T,en,Ukrayinka,ru,Р Р€Р С”РЎР‚Р В°РЎвЂ”Р Р…Р С”Р В°,ua,Р Р€Р С”РЎР‚Р В°РЎвЂ”Р Р…Р С”Р В°
T,en,Ustinivka,ru,Р Р€РЎРѓРЎвЂљР С‘Р Р…iР Р†Р С”Р В°,ua,Р Р€РЎРѓРЎвЂљР С‘Р Р…iР Р†Р С”Р В°
T,en,CHopovichi,ru,Р В§Р С•Р С—Р С•Р Р†Р С‘РЎвЂЎi,ua,Р В§Р С•Р С—Р С•Р Р†Р С‘РЎвЂЎi
T,en,Shevchenkove,ru,Р РЃР ВµР Р†РЎвЂЎР ВµР Р…Р С”Р С•Р Р†Р Вµ,ua,Р РЃР ВµР Р†РЎвЂЎР ВµР Р…Р С”Р С•Р Р†Р Вµ
T,en,Scherbativka,ru,Р В©Р ВµРЎР‚Р В±Р В°РЎвЂљiР Р†Р С”Р В°,ua,Р В©Р ВµРЎР‚Р В±Р В°РЎвЂљiР Р†Р С”Р В°
T,en,Bazar,ru,Р вЂ?Р В°Р В·Р В°РЎР‚,ua,Р вЂ?Р В°Р В·Р В°РЎР‚
T,en,Bolotnitsja,ru,Р вЂ?Р С•Р В»Р С•РЎвЂљР Р…Р С‘РЎвЂ РЎРЏ,ua,Р вЂ?Р С•Р В»Р С•РЎвЂљР Р…Р С‘РЎвЂ РЎРЏ
T,en,Veliki klischi,ru,Р вЂ™Р ВµР В»Р С‘Р С”i Р С™Р В»iРЎвЂ°i,ua,Р вЂ™Р ВµР В»Р С‘Р С”i Р С™Р В»iРЎвЂ°i
T,en,V'jazivka,ru,Р вЂ™'РЎРЏР В·iР Р†Р С”Р В°,ua,Р вЂ™'РЎРЏР В·iР Р†Р С”Р В°
T,en,Golubievichi,ru,Р вЂњР С•Р В»РЎС“Р В±iРЎвЂќР Р†Р С‘РЎвЂЎi,ua,Р вЂњР С•Р В»РЎС“Р В±iРЎвЂќР Р†Р С‘РЎвЂЎi
T,en,Guto-mar'jatin,ru,Р вЂњРЎС“РЎвЂљР С•-Р СљР В°РЎР‚'РЎРЏРЎвЂљР С‘Р Р…,ua,Р вЂњРЎС“РЎвЂљР С•-Р СљР В°РЎР‚'РЎРЏРЎвЂљР С‘Р Р…
T,en,Dovgij lis,ru,Р вЂќР С•Р Р†Р С–Р С‘Р в„– Р вЂєiРЎРѓ,ua,Р вЂќР С•Р Р†Р С–Р С‘Р в„– Р вЂєiРЎРѓ
